room_type_Entire home/apt,amenities,bathrooms,number_of_reviews,accommodates,review_scores_rating,bedrooms,host_response_rate,city_SF,beds,city_LA,host_identity_verified_t,cleaning_fee,instant_bookable_t,room_type_Private room,city_DC,property_type_House,cancellation_policy_strict,cancellation_policy_flexible,city_Chicago,city_NYC,cancellation_policy_moderate,property_type_Apartment,property_type_Condominium,property_type_Loft,bed_type_Real Bed,property_type_Townhouse,property_type_Other,property_type_Bed & Breakfast,bed_type_Futon
,214,,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,,492.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,272,,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,419,,201.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,144,,288.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,153,,389.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,381,,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,689,,306.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,203,,303.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,211,,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,374,,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,353,,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,164,,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,463,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,259,,281.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,274,,327.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,134,,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,296,,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,279,,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,472,,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,402,,291.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,403,,209.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,348,,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,324,,227.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,,337.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,247,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,423,,252.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,273,,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,,268.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,78,,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,234,,335.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,136,,298.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,337,,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,137,,366.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,233,,322.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,414,,304.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,312,,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,332,,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,,378.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,221,,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,170,,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,298,,279.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,532,,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,182,,329.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,142,,262.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,413,,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,264,,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,384,,311.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,,542.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,695,,253.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,,367.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,330,,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,187,,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,584,,449.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,245,,354.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,441,,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,454,,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,735,,391.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,479,,356.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,287,,379.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,188,,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,87,,339.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,80,,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,469,,370.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,371,,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,355,,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,350,,495.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,408,,229.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,167,,326.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,129,,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,200,,292.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,648,,257.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,411,,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,119,,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,271,,282.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,122,,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,184,,328.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,359,,313.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,113,,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,627,,230.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,465,,277.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,456,,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,209,,332.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,429,,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,874,,286.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,644,,284.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,319,,297.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,243,,308.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,380,,247.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,124,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,288,,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,,223.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,377,,338.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,294,,451.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,561,,274.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,,605.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,385,,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,431,,385.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,343,,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,563,,525.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,347,,283.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,553,,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,440,,307.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,282,,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,72,,321.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,74,,271.0,,,,,,,,,,,,,,,,,,,,,,,,,,
